0.0,11,0	Avatar/NVRPlayer/Head	Avatar/NVRPlayer/LeftHand	Avatar/NVRPlayer/RightHand	CookingEnvironment(Clone)/PanFrying	CookingEnvironment(Clone)/SpoonBig	CookingEnvironment(Clone)/SpoonWood03	CookingEnvironment(Clone)/Pan02	CookingEnvironment(Clone)/bowl	CookingEnvironment(Clone)/Wisp	CookingEnvironment(Clone)/chopsticks_C	CookingEnvironment(Clone)/spoon_B	CookingEnvironment(Clone)/ricebowl_A_c02
0.0329,11,1	-6.6764,1.1304,3.9253,354.3243,6.2273,359.9908	-6.6257,1.5771,4.2936,4.603,352.186,35.266	-6.1322,1.6108,4.3493,5.9222,39.9044,357.9475	-5.3139,0.9155,5.4373,0.0089,300.0146,20.7011	-6.43,0.8592,4.9698,354.4538,0.0023,359.9181	-6.553,0.8552,4.977,0,0.0001,0.0011	-4.99,0.8746,5.211,-0.0001,0.0001,-0.0002	-5.828,0.8546,5.118,359.969,0.0023,359.9813	-6.2871,0.86,4.9709,354.8552,0.0397,359.7371	-6.635,0.8565,5.0701,359.7651,180.0045,0.0284	-6.7159,0.8554,5.0525,4.8005,179.9412,1.2107	-6.096,0.8534,5.07,0,89.9997,0
0.0653,11,1	-6.6763,1.1305,3.9255,354.3288,6.2119,0.0001	-6.628,1.5768,4.2916,4.7427,351.1545,34.4679	-6.1499,1.6062,4.3583,5.7377,37.2889,358.236	-5.3139,0.9155,5.4373,0.0089,300.0146,20.7011	-6.43,0.8592,4.9698,354.4538,0.0023,359.9181	-6.553,0.8552,4.977,0,0.0001,0.0011	-4.99,0.8746,5.211,-0.0001,0.0001,-0.0002	-5.828,0.8546,5.118,359.969,0.0023,359.9813	-6.2871,0.86,4.9709,354.8552,0.0397,359.7371	-6.635,0.8565,5.0701,359.7651,180.0045,0.0284	-6.7159,0.8554,5.0525,4.8005,179.9412,1.2107	-6.096,0.8534,5.07,0,89.9997,0
0.0869,11,1	-6.6762,1.1306,3.9256,354.3369,6.2201,-0.0031	-6.6296,1.5766,4.29,4.8179,350.535,34.0338	-6.1656,1.6022,4.3651,6.0436,34.8886,358.1821	-5.3139,0.9155,5.4373,0.0089,300.0146,20.7011	-6.43,0.8592,4.9698,354.4538,0.0023,359.9181	-6.553,0.8552,4.977,0,0.0001,0.0011	-4.99,0.8746,5.211,-0.0001,0.0001,-0.0002	-5.828,0.8546,5.118,359.969,0.0023,359.9813	-6.2871,0.86,4.9709,354.8552,0.0397,359.7371	-6.635,0.8565,5.0701,359.7651,180.0045,0.0284	-6.7159,0.8554,5.0525,4.8005,179.9412,1.2107	-6.096,0.8534,5.07,0,89.9997,0
0.1214,11,1	-6.6762,1.1307,3.9257,354.3288,6.2163,359.9924	-6.6325,1.5764,4.2868,4.9377,349.464,33.512	-6.1957,1.5951,4.3759,7.1223,30.3732,357.6284	-5.3139,0.9155,5.4373,0.0089,300.0146,20.7011	-6.43,0.8592,4.9698,354.4538,0.0023,359.9181	-6.553,0.8552,4.977,0,0.0001,0.0011	-4.99,0.8746,5.211,-0.0001,0.0001,-0.0002	-5.828,0.8546,5.118,359.969,0.0023,359.9813	-6.2871,0.86,4.9709,354.8552,0.0397,359.7371	-6.635,0.8565,5.0701,359.7651,180.0045,0.0284	-6.7159,0.8554,5.0525,4.8005,179.9412,1.2107	-6.096,0.8534,5.07,0,89.9997,0
0.1526,11,1	-6.6761,1.1307,3.9258,354.3287,6.2093,359.9912	-6.6346,1.5768,4.2845,4.9648,348.6093,33.2031	-6.2168,1.5913,4.3814,7.7124,27.1265,357.2256	-5.3139,0.9155,5.4373,0.0089,300.0146,20.7011	-6.43,0.8592,4.9698,354.4538,0.0023,359.9181	-6.553,0.8552,4.977,0,0.0001,0.0011	-4.99,0.8746,5.211,-0.0001,0.0001,-0.0002	-5.828,0.8546,5.118,359.969,0.0023,359.9813	-6.2871,0.86,4.9709,354.8552,0.0397,359.7371	-6.635,0.8565,5.0701,359.7651,180.0045,0.0284	-6.7159,0.8554,5.0525,4.8005,179.9412,1.2107	-6.096,0.8534,5.07,0,89.9997,0
0.1868,11,1	-6.6761,1.1307,3.9258,354.3405,6.2182,359.9909	-6.6392,1.5781,4.2788,4.9713,346.3651,32.4463	-6.2672,1.5848,4.3906,8.6056,19.475,355.8831	-5.3139,0.9155,5.4373,0.0089,300.0146,20.7011	-6.43,0.8592,4.9698,354.4538,0.0023,359.9181	-6.553,0.8552,4.977,0,0.0001,0.0011	-4.99,0.8746,5.211,-0.0001,0.0001,-0.0002	-5.828,0.8546,5.118,359.969,0.0023,359.9813	-6.2871,0.86,4.9709,354.8552,0.0397,359.7371	-6.635,0.8565,5.0701,359.7651,180.0045,0.0284	-6.7159,0.8554,5.0525,4.8005,179.9412,1.2107	-6.096,0.8534,5.07,0,89.9997,0
0.2183,11,1	-6.6761,1.1307,3.9257,354.3307,6.2137,359.9939	-6.6415,1.5788,4.2758,4.9425,345.2133,32.0834	-6.2908,1.5835,4.3919,8.965,15.7151,354.8065	-5.3139,0.9155,5.4373,0.0089,300.0146,20.7011	-6.43,0.8592,4.9698,354.4538,0.0023,359.9181	-6.553,0.8552,4.977,0,0.0001,0.0011	-4.99,0.8746,5.211,-0.0001,0.0001,-0.0002	-5.828,0.8546,5.118,359.969,0.0023,359.9813	-6.2871,0.86,4.9709,354.8552,0.0397,359.7371	-6.635,0.8565,5.0701,359.7651,180.0045,0.0284	-6.7159,0.8554,5.0525,4.8005,179.9412,1.2107	-6.096,0.8534,5.07,0,89.9997,0
0.2526,11,1	-6.6762,1.1307,3.9257,354.3341,6.2206,359.9941	-6.6452,1.5797,4.2707,5.0084,343.3195,31.606	-6.3302,1.5829,4.3917,8.934,9.3472,353.3405	-5.3139,0.9155,5.4373,0.0089,300.0146,20.7011	-6.43,0.8592,4.9698,354.4538,0.0023,359.9181	-6.553,0.8552,4.977,0,0.0001,0.0011	-4.99,0.8746,5.211,-0.0001,0.0001,-0.0002	-5.828,0.8546,5.118,359.969,0.0023,359.9813	-6.2871,0.86,4.9709,354.8552,0.0397,359.7371	-6.635,0.8565,5.0701,359.7651,180.0045,0.0284	-6.7159,0.8554,5.0525,4.8005,179.9412,1.2107	-6.096,0.8534,5.07,0,89.9997,0
0.2885,11,1	-6.6762,1.1307,3.9257,354.3332,6.2204,-0.004	-6.6503,1.58,4.2636,5.2861,341.1658,31.2483	-6.3794,1.5857,4.3859,7.5492,1.8471,352.5051	-5.3139,0.9155,5.4373,0.0089,300.0146,20.7011	-6.43,0.8592,4.9698,354.4538,0.0023,359.9181	-6.553,0.8552,4.977,0,0.0001,0.0011	-4.99,0.8746,5.211,-0.0001,0.0001,-0.0002	-5.828,0.8546,5.118,359.969,0.0023,359.9813	-6.2871,0.86,4.9709,354.8552,0.0397,359.7371	-6.635,0.8565,5.0701,359.7651,180.0045,0.0284	-6.7159,0.8554,5.0525,4.8005,179.9412,1.2107	-6.096,0.8534,5.07,0,89.9997,0
0.3221,11,1	-6.6762,1.1307,3.9256,354.3264,6.2234,-0.0049	-6.6537,1.5796,4.2587,5.585,339.8734,31.1192	-6.4073,1.5898,4.3795,6.2921,357.0031,351.9346	-5.3139,0.9155,5.4373,0.0089,300.0146,20.7011	-6.43,0.8592,4.9698,354.4538,0.0023,359.9181	-6.553,0.8552,4.977,0,0.0001,0.0011	-4.99,0.8746,5.211,-0.0001,0.0001,-0.0002	-5.828,0.8546,5.118,359.969,0.0023,359.9813	-6.2871,0.86,4.9709,354.8552,0.0397,359.7371	-6.635,0.8565,5.0701,359.7651,180.0045,0.0284	-6.7159,0.8554,5.0525,4.8005,179.9412,1.2107	-6.096,0.8534,5.07,0,89.9997,0
